"x"
"Acinonyx_jubatus"
"Addax_nasomaculatus"
"Aepyceros_melampus"
"Ailurus_fulgens"
"Antilocapra_americana"
"Artibeus_jamaicensis"
"Atelerix_albiventris"
"Callithrix_jacchus"
"Canis_lupus"
"Capra_hircus"
"Capra_nubiana"
"Carollia_perspicillata"
"Cavia_fulgida"
"Cebuella_pygmaea"
"Cercopithecus_mitis"
"Chinchilla_lanigera"
"Choloepus_didactylus"
"Chrotopterus_auritus"
"Colobus_guereza"
"Cynomys_ludovicianus"
"Dasyprocta_punctata"
"Dasypus_novemcinctus"
"Delphinus_delphis"
"Elephas_maximus"
"Equus_grevyi"
"Eudorcas_thomsonii"
"Gazella_spekei"
"Giraffa_camelopardalis"
"Gorilla_gorilla"
"Heterocephalus_glaber"
"Hydrochoerus_hydrochaeris"
"Lama_glama"
"Lemur_catta"
"Leontopithecus_chrysomelas"
"Litocranius_walleri"
"Lontra_canadensis"
"Lycaon_pictus"
"Macaca_nigra"
"Macroscelides_proboscideus"
"Macrotus_californicus"
"Mandrillus_sphinx"
"Mus_musculus"
"Mustela_putorius"
"Nanger_dama"
"Octodon_degus"
"Oryctolagus_cuniculus"
"Oryx_leucoryx"
"Ovis_aries"
"Ovis_canadensis"
"Pan_troglodytes"
"Panthera_leo"
"Panthera_onca"
"Panthera_tigris"
"Panthera_uncia"
"Papio_hamadryas"
"Pecari_tajacu"
"Phacochoerus_africanus"
"Phoca_vitulina"
"Phocoena_phocoena"
"Phyllostomus_discolor"
"Pithecia_pithecia"
"Procavia_capensis"
"Procyon_lotor"
"Pteropus_rodricensis"
"Puma_concolor"
"Pusa_hispida"
"Rangifer_tarandus"
"Rattus_norvegicus"
"Rousettus_aegyptiacus"
"Rousettus_lanosus"
"Saguinus_imperator"
"Saguinus_oedipus"
"Saimiri_boliviensis"
"Saimiri_sciureus"
"Suricata_suricatta"
"Sus_scrofa"
"Sylvilagus_transitionalis"
"Taurotragus_derbianus"
"Tragelaphus_strepsiceros"
"Ursus_maritimus"
"Varecia_variegata"
"Vulpes_zerda"
"Zalophus_californianus"
